Time [microseconds],Accelerometer ID,X Acceleration,Y Acceleration,Z Acceleration
1918868398.0,1,-0.067977,-0.035988,0.943678
1918868467.0,2,0.02799,-0.011996,0.991661
1918868494.0,3,-0.019043,0.098145,1.008301
1918868964.0,1,-0.067977,-0.035988,0.943678
1918869033.0,2,0.02799,-0.011996,0.991661
1918869060.0,3,-0.021484,0.102539,1.006348
1918869530.0,1,-0.067977,-0.035988,0.943678
1918869599.0,2,0.02799,-0.011996,0.991661
1918869626.0,3,-0.02002,0.099609,1.006836
1918870096.0,1,-0.067977,-0.035988,0.943678
1918870165.0,2,0.02799,-0.011996,0.991661
1918870192.0,3,-0.018066,0.097168,1.003418
1918870662.0,1,-0.067977,-0.035988,0.943678
1918870731.0,2,0.02799,-0.011996,0.991661
1918870758.0,3,-0.024902,0.09668,1.003906
1918871228.0,1,-0.067977,-0.035988,0.943678
1918871296.0,2,0.02799,-0.011996,0.991661
1918871323.0,3,-0.021484,0.098145,1.010254
1918871793.0,1,-0.067977,-0.035988,0.943678
1918871862.0,2,0.02799,-0.011996,0.991661
1918871889.0,3,-0.018555,0.102051,1.009277
1918872359.0,1,-0.067977,-0.035988,0.943678
1918872428.0,2,0.02799,-0.011996,0.991661
1918872455.0,3,-0.021484,0.098633,1.003906
1918872925.0,1,-0.067977,-0.035988,0.943678
1918872994.0,2,0.02799,-0.011996,0.991661
1918873021.0,3,-0.021484,0.094238,0.999512
1918873491.0,1,-0.067977,-0.035988,0.943678
1918873560.0,2,0.02799,-0.011996,0.991661
1918873587.0,3,-0.02002,0.094238,1.004395
1918874057.0,1,-0.067977,-0.035988,0.943678
1918874126.0,2,0.02799,-0.011996,0.991661
1918874153.0,3,-0.021973,0.09668,1.008301
1918874622.0,1,-0.067977,-0.035988,0.943678
1918874691.0,2,0.02799,-0.011996,0.991661
1918874718.0,3,-0.021484,0.097656,1.005371
1918875188.0,1,-0.067977,-0.035988,0.943678
1918875257.0,2,0.02799,-0.011996,0.991661
1918875284.0,3,-0.020996,0.098145,1.005371
1918875754.0,1,-0.067977,-0.035988,0.943678
1918875823.0,2,0.031989,-0.011996,0.987663
1918875850.0,3,-0.022461,0.098633,1.008789
1918876320.0,1,-0.067977,-0.035988,0.943678
1918876389.0,2,0.031989,-0.011996,0.987663
1918876416.0,3,-0.020508,0.100586,1.007324
1918876886.0,1,-0.071975,-0.031989,0.951675
1918876955.0,2,0.031989,-0.011996,0.987663
1918876982.0,3,-0.02002,0.094727,1.003418
1918877451.0,1,-0.071975,-0.031989,0.951675
1918877520.0,2,0.031989,-0.011996,0.987663
1918877547.0,3,-0.022461,0.098145,1.000977
1918878017.0,1,-0.071975,-0.031989,0.951675
1918878086.0,2,0.031989,-0.011996,0.987663
1918878113.0,3,-0.022949,0.101562,1.013184
1918878585.0,1,-0.071975,-0.031989,0.951675
1918878654.0,2,0.031989,-0.011996,0.987663
1918878681.0,3,-0.021484,0.103027,1.012695
1918879151.0,1,-0.071975,-0.031989,0.951675
1918879220.0,2,0.031989,-0.011996,0.987663
1918879246.0,3,-0.02002,0.098633,1.001953
1918879716.0,1,-0.071975,-0.031989,0.951675
1918879785.0,2,0.031989,-0.011996,0.987663
1918879812.0,3,-0.019043,0.097656,1.000977
1918880282.0,1,-0.071975,-0.031989,0.951675
1918880351.0,2,0.031989,-0.011996,0.987663
1918880378.0,3,-0.019531,0.100098,1.004883
1918880848.0,1,-0.071975,-0.031989,0.951675
1918880917.0,2,0.031989,-0.011996,0.987663
1918880944.0,3,-0.022949,0.103027,1.009766
1918881414.0,1,-0.071975,-0.031989,0.951675
1918881483.0,2,0.031989,-0.011996,0.987663
1918881510.0,3,-0.022949,0.098145,1.010254
1918881980.0,1,-0.071975,-0.031989,0.951675
1918882049.0,2,0.031989,-0.011996,0.987663
1918882076.0,3,-0.021484,0.09668,1.001465
1918882545.0,1,-0.071975,-0.031989,0.951675
1918882614.0,2,0.031989,-0.011996,0.987663
1918882641.0,3,-0.019043,0.094238,1.001953
1918883111.0,1,-0.071975,-0.031989,0.951675
1918883180.0,2,0.031989,-0.011996,0.987663
1918883207.0,3,-0.020996,0.098633,1.006348
1918883677.0,1,-0.071975,-0.031989,0.951675
1918883746.0,2,0.031989,-0.011996,0.987663
1918883773.0,3,-0.020996,0.097656,1.008301
1918884243.0,1,-0.071975,-0.031989,0.951675
1918884312.0,2,0.031989,-0.011996,0.987663
1918884339.0,3,-0.026855,0.09668,1.003418
1918884809.0,1,-0.071975,-0.031989,0.951675
1918884878.0,2,0.031989,-0.011996,0.987663
1918884905.0,3,-0.022949,0.097168,1.003906
1918885375.0,1,-0.071975,-0.031989,0.951675
1918885444.0,2,0.031989,-0.011996,0.987663
1918885470.0,3,-0.021973,0.097656,1.006836
1918885940.0,1,-0.071975,-0.031989,0.951675
1918886009.0,2,0.019993,-0.007997,0.99566
1918886036.0,3,-0.019043,0.097656,1.01123
1918886506.0,1,-0.071975,-0.031989,0.951675
1918886575.0,2,0.019993,-0.007997,0.99566
1918886602.0,3,-0.021484,0.095703,1.007812
1918887074.0,1,-0.067977,-0.039986,0.959672
1918887143.0,2,0.019993,-0.007997,0.99566
1918887170.0,3,-0.022461,0.095215,0.999512
1918887640.0,1,-0.067977,-0.039986,0.959672
1918887709.0,2,0.019993,-0.007997,0.99566
1918887736.0,3,-0.022949,0.098145,1.003418
1918888206.0,1,-0.067977,-0.039986,0.959672
1918888275.0,2,0.019993,-0.007997,0.99566
1918888302.0,3,-0.022949,0.100586,1.012695
1918888771.0,1,-0.067977,-0.039986,0.959672
1918888840.0,2,0.019993,-0.007997,0.99566
1918888867.0,3,-0.022949,0.101074,1.01123
1918889337.0,1,-0.067977,-0.039986,0.959672
1918889406.0,2,0.019993,-0.007997,0.99566
1918889433.0,3,-0.022461,0.09375,1.000977
1918889903.0,1,-0.067977,-0.039986,0.959672
1918889972.0,2,0.019993,-0.007997,0.99566
1918889999.0,3,-0.022949,0.091797,1.000488
1918890469.0,1,-0.067977,-0.039986,0.959672
1918890538.0,2,0.019993,-0.007997,0.99566
1918890565.0,3,-0.022949,0.097168,1.006836
1918891035.0,1,-0.067977,-0.039986,0.959672
1918891104.0,2,0.019993,-0.007997,0.99566
1918891131.0,3,-0.023438,0.103027,1.012207
1918891603.0,1,-0.067977,-0.039986,0.959672
1918891672.0,2,0.019993,-0.007997,0.99566
1918891699.0,3,-0.022949,0.099609,1.009766
1918892169.0,1,-0.067977,-0.039986,0.959672
1918892238.0,2,0.019993,-0.007997,0.99566
1918892265.0,3,-0.023438,0.097168,1.002441
1918892736.0,1,-0.067977,-0.039986,0.959672
1918892805.0,2,0.019993,-0.007997,0.99566
1918892832.0,3,-0.023438,0.097656,0.999023
1918893304.0,1,-0.067977,-0.039986,0.959672
1918893373.0,2,0.019993,-0.007997,0.99566
1918893400.0,3,-0.021973,0.100586,1.005371
1918893870.0,1,-0.067977,-0.039986,0.959672
1918893939.0,2,0.019993,-0.007997,0.99566
1918893966.0,3,-0.022949,0.100098,1.009277
1918894436.0,1,-0.067977,-0.039986,0.959672
1918894504.0,2,0.019993,-0.007997,0.99566
1918894532.0,3,-0.023926,0.099609,1.009277
1918895001.0,1,-0.067977,-0.039986,0.959672
1918895070.0,2,0.019993,-0.007997,0.99566
1918895097.0,3,-0.019531,0.098145,1.006836
1918895567.0,1,-0.067977,-0.039986,0.959672
1918895636.0,2,0.019993,-0.007997,0.99566
1918895663.0,3,-0.024414,0.095703,1.008301
1918896133.0,1,-0.067977,-0.039986,0.959672
1918896202.0,2,0.023992,-0.007997,0.99566
1918896229.0,3,-0.016602,0.09668,1.006348
1918896699.0,1,-0.063978,-0.035988,0.963671
1918896768.0,2,0.023992,-0.007997,0.99566
1918896795.0,3,-0.018555,0.097168,1.003418
1918897265.0,1,-0.063978,-0.035988,0.963671
1918897334.0,2,0.023992,-0.007997,0.99566
1918897361.0,3,-0.021973,0.097656,1.005859
1918897831.0,1,-0.063978,-0.035988,0.963671
1918897900.0,2,0.023992,-0.007997,0.99566
1918897927.0,3,-0.02002,0.098633,1.007812
1918898398.0,1,-0.063978,-0.035988,0.963671
1918898467.0,2,0.023992,-0.007997,0.99566
1918898494.0,3,-0.020508,0.098145,1.003418
1918898964.0,1,-0.063978,-0.035988,0.963671
1918899033.0,2,0.023992,-0.007997,0.99566
1918899060.0,3,-0.02002,0.094727,1.000488
1918899530.0,1,-0.063978,-0.035988,0.963671
1918899599.0,2,0.023992,-0.007997,0.99566
