Time [microseconds],Accelerometer ID,X Acceleration,Y Acceleration,Z Acceleration
174040725.0,1,-0.071975,-0.043985,0.967669
174040794.0,2,0.019993,-0.007997,1.007656
174040821.0,3,0.008301,-0.595215,0.822266
174041290.0,1,-0.071975,-0.043985,0.967669
174041359.0,2,0.019993,-0.007997,1.007656
174041386.0,3,0.009766,-0.591309,0.824707
174041856.0,1,-0.071975,-0.043985,0.967669
174041925.0,2,0.019993,-0.007997,1.007656
174041952.0,3,0.01123,-0.591309,0.825195
174042422.0,1,-0.071975,-0.043985,0.967669
174042491.0,2,0.019993,-0.007997,1.007656
174042518.0,3,0.009766,-0.590332,0.824219
174042987.0,1,-0.071975,-0.043985,0.967669
174043056.0,2,0.019993,-0.007997,1.007656
174043083.0,3,0.012207,-0.589355,0.82373
174043553.0,1,-0.071975,-0.043985,0.967669
174043622.0,2,0.019993,-0.007997,1.007656
174043649.0,3,0.01123,-0.588867,0.821777
174044119.0,1,-0.071975,-0.043985,0.967669
174044188.0,2,0.019993,-0.007997,1.007656
174044215.0,3,0.012695,-0.592285,0.822754
174044684.0,1,-0.071975,-0.043985,0.967669
174044753.0,2,0.019993,-0.007997,1.007656
174044780.0,3,0.008789,-0.589844,0.820312
174045252.0,1,-0.071975,-0.043985,0.967669
174045321.0,2,0.019993,-0.007997,1.007656
174045348.0,3,0.005859,-0.589844,0.821289
174045817.0,1,-0.071975,-0.043985,0.967669
174045886.0,2,0.031989,-0.007997,1.003657
174045913.0,3,0.008789,-0.587891,0.819824
174046383.0,1,-0.071975,-0.043985,0.967669
174046452.0,2,0.031989,-0.007997,1.003657
174046479.0,3,0.007812,-0.586426,0.820801
174046950.0,1,-0.071975,-0.043985,0.955674
174047019.0,2,0.031989,-0.007997,1.003657
174047046.0,3,0.005859,-0.587891,0.820801
174047516.0,1,-0.071975,-0.043985,0.955674
174047585.0,2,0.031989,-0.007997,1.003657
174047612.0,3,0.002441,-0.586426,0.820312
174048083.0,1,-0.071975,-0.043985,0.955674
174048152.0,2,0.031989,-0.007997,1.003657
174048179.0,3,0.004883,-0.582031,0.820801
174048649.0,1,-0.071975,-0.043985,0.955674
174048718.0,2,0.031989,-0.007997,1.003657
174048745.0,3,0.007324,-0.582031,0.815918
174049214.0,1,-0.071975,-0.043985,0.955674
174049283.0,2,0.031989,-0.007997,1.003657
174049310.0,3,0.003906,-0.580566,0.820312
174049782.0,1,-0.071975,-0.043985,0.955674
174049851.0,2,0.031989,-0.007997,1.003657
174049878.0,3,0.003418,-0.583008,0.819336
174050348.0,1,-0.071975,-0.043985,0.955674
174050416.0,2,0.031989,-0.007997,1.003657
174050443.0,3,0.004395,-0.58252,0.818848
174050913.0,1,-0.071975,-0.043985,0.955674
174050982.0,2,0.031989,-0.007997,1.003657
174051009.0,3,0.007324,-0.584473,0.816406
174051479.0,1,-0.071975,-0.043985,0.955674
174051548.0,2,0.031989,-0.007997,1.003657
174051575.0,3,0.005859,-0.585938,0.818359
174052046.0,1,-0.071975,-0.043985,0.955674
174052115.0,2,0.031989,-0.007997,1.003657
174052142.0,3,0.006836,-0.585449,0.819824
174052612.0,1,-0.071975,-0.043985,0.955674
174052681.0,2,0.031989,-0.007997,1.003657
174052708.0,3,0.005859,-0.585449,0.820312
174053179.0,1,-0.071975,-0.043985,0.955674
174053248.0,2,0.031989,-0.007997,1.003657
174053275.0,3,0.008301,-0.588379,0.822266
174053745.0,1,-0.071975,-0.043985,0.955674
174053814.0,2,0.031989,-0.007997,1.003657
174053841.0,3,0.008789,-0.585938,0.822266
174054312.0,1,-0.071975,-0.043985,0.955674
174054381.0,2,0.031989,-0.007997,1.003657
174054408.0,3,0.013672,-0.584961,0.823242
174054878.0,1,-0.071975,-0.043985,0.955674
174054947.0,2,0.031989,-0.007997,1.003657
174054974.0,3,0.011719,-0.586914,0.824707
174055444.0,1,-0.071975,-0.043985,0.955674
174055513.0,2,0.031989,-0.007997,1.003657
174055540.0,3,0.009766,-0.589355,0.822266
174056009.0,1,-0.071975,-0.043985,0.955674
174056078.0,2,0.031989,-0.019993,0.99566
174056105.0,3,0.01123,-0.586914,0.822266
174056575.0,1,-0.071975,-0.043985,0.955674
174056644.0,2,0.031989,-0.019993,0.99566
174056671.0,3,0.011719,-0.591309,0.820801
174057141.0,1,-0.075974,-0.043985,0.963671
174057209.0,2,0.031989,-0.019993,0.99566
174057236.0,3,0.008789,-0.591309,0.818359
174057706.0,1,-0.075974,-0.043985,0.963671
174057775.0,2,0.031989,-0.019993,0.99566
174057802.0,3,0.008789,-0.588379,0.817383
174058272.0,1,-0.075974,-0.043985,0.963671
174058340.0,2,0.031989,-0.019993,0.99566
174058367.0,3,0.008789,-0.588379,0.821777
174058837.0,1,-0.075974,-0.043985,0.963671
174058906.0,2,0.031989,-0.019993,0.99566
174058933.0,3,0.008301,-0.587402,0.821289
174059403.0,1,-0.075974,-0.043985,0.963671
174059472.0,2,0.031989,-0.019993,0.99566
174059499.0,3,0.01123,-0.587402,0.821289
174059968.0,1,-0.075974,-0.043985,0.963671
174060037.0,2,0.031989,-0.019993,0.99566
174060064.0,3,0.010254,-0.583984,0.820801
174060534.0,1,-0.075974,-0.043985,0.963671
174060603.0,2,0.031989,-0.019993,0.99566
174060630.0,3,0.007812,-0.581055,0.824219
174061101.0,1,-0.075974,-0.043985,0.963671
174061170.0,2,0.031989,-0.019993,0.99566
174061197.0,3,0.011719,-0.581543,0.820312
174061668.0,1,-0.075974,-0.043985,0.963671
174061737.0,2,0.031989,-0.019993,0.99566
174061764.0,3,0.008789,-0.581543,0.820801
174062234.0,1,-0.075974,-0.043985,0.963671
174062303.0,2,0.031989,-0.019993,0.99566
174062330.0,3,0.010254,-0.583496,0.821777
174062800.0,1,-0.075974,-0.043985,0.963671
174062868.0,2,0.031989,-0.019993,0.99566
174062895.0,3,0.008789,-0.582031,0.818359
174063365.0,1,-0.075974,-0.043985,0.963671
174063434.0,2,0.031989,-0.019993,0.99566
174063461.0,3,0.009766,-0.584473,0.817871
174063931.0,1,-0.075974,-0.043985,0.963671
174064000.0,2,0.031989,-0.019993,0.99566
174064027.0,3,0.008789,-0.583984,0.817871
174064496.0,1,-0.075974,-0.043985,0.963671
174064565.0,2,0.031989,-0.019993,0.99566
174064592.0,3,0.007324,-0.584473,0.815918
174065062.0,1,-0.075974,-0.043985,0.963671
174065131.0,2,0.031989,-0.019993,0.99566
174065158.0,3,0.006348,-0.586914,0.818848
174065627.0,1,-0.075974,-0.043985,0.963671
174065696.0,2,0.031989,-0.019993,0.99566
174065723.0,3,0.006836,-0.585449,0.818359
174066193.0,1,-0.075974,-0.043985,0.963671
174066262.0,2,0.02799,-0.007997,0.999658
174066289.0,3,0.010742,-0.585938,0.817871
174066760.0,1,-0.067977,-0.039986,0.951675
174066829.0,2,0.02799,-0.007997,0.999658
174066856.0,3,0.008301,-0.583008,0.820801
174067326.0,1,-0.067977,-0.039986,0.951675
174067395.0,2,0.02799,-0.007997,0.999658
174067422.0,3,0.013184,-0.583008,0.821777
174067892.0,1,-0.067977,-0.039986,0.951675
174067961.0,2,0.02799,-0.007997,0.999658
174067988.0,3,0.010254,-0.586426,0.819824
174068457.0,1,-0.067977,-0.039986,0.951675
174068526.0,2,0.02799,-0.007997,0.999658
174068553.0,3,0.010254,-0.585449,0.820312
174069025.0,1,-0.067977,-0.039986,0.951675
174069094.0,2,0.02799,-0.007997,0.999658
174069121.0,3,0.010254,-0.589844,0.823242
174069590.0,1,-0.067977,-0.039986,0.951675
174069659.0,2,0.02799,-0.007997,0.999658
174069686.0,3,0.009766,-0.589355,0.824707
174070156.0,1,-0.067977,-0.039986,0.951675
174070225.0,2,0.02799,-0.007997,0.999658
174070252.0,3,0.012207,-0.591309,0.820312
174070724.0,1,-0.067977,-0.039986,0.951675
174070793.0,2,0.02799,-0.007997,0.999658
174070820.0,3,0.014648,-0.59082,0.822266
174071289.0,1,-0.067977,-0.039986,0.951675
174071358.0,2,0.02799,-0.007997,0.999658
174071385.0,3,0.013184,-0.588379,0.822754
174071855.0,1,-0.067977,-0.039986,0.951675
174071924.0,2,0.02799,-0.007997,0.999658
174071951.0,3,0.015137,-0.588867,0.820312
